# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.13.1
#@/tick	9640
#@/user_id	71976ba1-830a-45d3-bed3-0cdf4d8efa78
er shi 	而是	c=2 d=1 t=3836
er yue 	二月	c=1 d=1 t=3139
er yue fen 	二月份	c=1 d=1 t=3146
er zi 	兒子	c=1 d=1 t=2830
fa 	法	c=1 d=1 t=9501
fa 	發	c=18 d=1.67145 t=8776
fa 	罰	c=5 d=2.42773 t=261
fa bu 	發佈	c=5 d=2.02684 t=4968
fa guo 	法國	c=1 d=1 t=1826
fa huo 	發貨	c=2 d=1.0696 t=1535
fa lv 	法律	c=3 d=1.81873 t=6951
fa ni 	發你	c=1 d=1 t=835
fa o 	發哦	c=1 d=1 t=1662
fa ren 	法人	c=5 d=1.00077 t=6917
fa sheng 	發生	c=1 d=1 t=44
fa song 	發送	c=1 d=1 t=6125
fa xing 	發行	c=6 d=1.75321 t=4989
fa yin 	發音	c=2 d=1.77105 t=185
fan 	反	c=1 d=1 t=5587
fan 	犯	c=3 d=1 t=9134
fan er 	反而	c=1 d=1 t=8066
fan hao 	番號	c=6 d=2.37164 t=7167
fan ku 	反哭	c=1 d=1 t=2205
fan kui 	反饋	c=3 d=1.94649 t=2480
fan suo 	繁瑣	c=1 d=1 t=5780
fan ti 	繁體	c=3 d=1.04512 t=4953
fan ti ban 	繁體版	c=1 d=1 t=3039
fan wei 	範圍	c=1 d=1 t=6754
fan yi 	翻譯	c=11 d=1 t=9107
fan yi cheng 	翻譯成	c=174 d=7.20936 t=9559
fan you 	凡有	c=1 d=1 t=5643
fan yu 	繁育	c=0 d=0.1 t=2136
fan yu cheng 	繁育成	c=1 d=1 t=2137
fang 	房	c=1 d=1 t=8273
fang 	放	c=3 d=1.35602 t=8272
fang 	方	c=5 d=2.68196 t=6829
fang bian 	方便	c=3 d=1.00895 t=1576
fang dan che 	防彈車	c=2 d=1.00616 t=6729
fang jian 	房間	c=2 d=1.88692 t=9077
fang le 	放了	c=2 d=1.99501 t=2301
fang shi 	方式	c=1 d=1 t=5996
fang wen 	訪問	c=1 d=1 t=1955
fang xiang pan 	方向盤	c=1 d=1 t=2187
fang zai 	放在	c=1 d=1 t=7848
fang zhi 	防止	c=1 d=1 t=6643
fang zi 	房子	c=8 d=1.97657 t=9184
fang zu 	房租	c=1 d=1 t=6701
fei 	廢	c=6 d=1.99977 t=9314
fei 	菲	c=4 d=1 t=6449
fei 	費	c=5 d=1 t=7439
fei 	非	c=6 d=1.72938 t=9016
fei 	飛	c=2 d=1 t=9315
fei chang 	非常	c=10 d=1.73242 t=8192
fei chang da 	非常大	c=1 d=1 t=7466
fei na yi ci 	非那一次	c=2 d=1.5886 t=9123
fei tu 	廢土	c=2 d=1.81873 t=7742
fei yan 	飛燕	c=2 d=1.87372 t=480
fei yong 	費用	c=23 d=1.02089 t=9407
fen 	份	c=1 d=1 t=6245
fen bie 	分別	c=3 d=1.00787 t=4775
fen cheng 	分成	c=1 d=1 t=8513
fen se 	粉色	c=2 d=1.9802 t=9179
fen xi 	分析	c=1 d=1 t=6159
fen xiang 	分享	c=2 d=1.72253 t=6158
feng 	峯	c=1 d=1 t=7166
feng 	灃	c=2 d=1 t=9491
feng 	豐	c=1 d=1 t=77
feng 	鋒	c=3 d=1 t=7162
